column,role,type,required_for,description
id,firm identifier,string,all analyses,Six-digit firm identifier or value that can be normalized to a six-digit code.
year,time identifier,integer,all analyses,Fiscal year.
CEO_age,descriptive variable,numeric,sample validation,Raw CEO age.
CEO_age_w,core explanatory variable,numeric,all public regression models,Winsorized CEO age.
Young_CEO,group variable,integer,median split,Young_CEO = 1 means CEO_age_w < 53; age 53 belongs to the senior group.
AEM_w,dependent variable,numeric,AEM models,Winsorized accrual-based earnings management measure.
REM,dependent variable,numeric,baseline and subgroup REM models,Real earnings management measure.
REM_w,dependent variable,numeric,fixed age-band REM models,Winsorized real earnings management measure.
Degree_w,control,numeric,regression controls,Winsorized education-related CEO control.
Gender_w,control,numeric,regression controls,Winsorized gender-related CEO control.
OperatingRevenueGrowth_w,control,numeric,regression controls,Winsorized operating revenue growth.
Size_w,control,numeric,regression controls,Winsorized firm size.
TotalSalaryln,control,numeric,regression controls,Log total salary.
Separation,control,numeric,regression controls,"Difference between the controlling shareholder's control rights and ownership rights, measured in percentage points."
G,group variable,integer,ownership heterogeneity,G = 0 indicates non-state-owned enterprises; G = 1 indicates state-owned enterprises.
BIGFour,group variable,integer,auditor heterogeneity,BIGFour = 1 indicates Big Four auditor; BIGFour = 2 indicates non-Big Four auditor.
